,#,fdc_id,name,data_type,brand,food_category_id,protein_value,total_fat_value,carbohydrates_value,calories_value,serving_size
,Orange with peel,169919,Oranges raw with peel,sr_legacy_food,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",2.2100,0.5100,26.3500,107.1000,170.00
,Oranges,746771,Oranges raw navels,foundation_food,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",1.5015,0.2475,19.4700,77.5500,165.00
,Oregano,171328,Spices oregano dried,sr_legacy_food,,Herbs & Spices,0.0900,0.0428,0.6892,2.6500,1.00
,Pepperoni,174575,Pepperoni beef and pork sliced,sr_legacy_food,,"Sausages, Hotdogs & Brats",16.3625,39.3380,1.0030,428.4000,85.00
,Pepperoni pizza generic,172096,Pizza pepperoni topping regular crust frozen cooked,sr_legacy_food,,Frozen Dinners & Entrees,18.2626,16.6751,31.3563,347.9800,127.00
,Rice pilaf,1305722,RICE PILAF,branded_food,HARRIS TEETER,Rice,3.0015,0.4995,35.0010,160.2000,45.00
,Potatoes raw,170032,Potatoes raw skin,sr_legacy_food,,Pre-Packaged Fruit & Vegetables,0.9766,0.0380,4.7272,22.0400,38.00
,Rice noodles raw,169768,Potatoes mashed ready-to-eat,sr_legacy_food,,Pre-Packaged Fruit & Vegetables,4.5113,11.4729,30.4341,242.7400,229.00
,Rice noodles cooked,168914,Rice noodles cooked,sr_legacy_food,,Rice,3.1504,0.3520,42.2576,190.0800,176.00
,Salmon,175138,Fish salmon pink raw,sr_legacy_food,,Frozen Fish & Seafood,17.4250,3.7400,0.0000,107.9500,85.00
,Salmon,173691,Fish salmon sockeye raw,sr_legacy_food,,Frozen Fish & Seafood,6.3079,1.3296,0.0000,37.1385,28.35
,Club sandwich,521713,CLUB SANDWICH,branded_food,,Prepared Subs & Sandwiches,40.9968,36.0036,59.0132,709.5600,292.00
,Chicken sandwich,170295,Fast foods chicken fillet sandwich plain with pickles,sr_legacy_food,,Frozen Dinners & Entrees,30.4436,20.9253,39.0643,467.5000,187.00
,Generic sandwich,507441,SANDWICH,branded_food,,Prepared Subs & Sandwiches,11.0050,17.9955,40.0055,399.9000,155.00
,Chicken sandwich fast food,170790,CHICK-FIL-A chicken sandwich,sr_legacy_food,,Frozen Dinners & Entrees,30.4436,20.9253,39.0643,465.6300,187.00
,Sandwich ice crea,172226,Ice cream sandwich,sr_legacy_food,,Dairy/Egg Based Products / Meals,3.0030,5.9990,25.9980,165.9000,70.00
,Scrambled eggs,172187,Egg whole cooked scrambled,sr_legacy_food,,Dairy/Egg Based Products / Meals,6.0939,6.6978,0.9821,90.8900,61.00
,Fried egg,173423,Egg whole cooked fried,sr_legacy_food,,Dairy/Egg Based Products / Meals,6.2606,6.8264,0.3818,90.1600,46.00
,Snow peas,1124930,SNOW PEAS,branded_food,,Pre-Packaged Fruit & Vegetables,1.9975,0.0000,6.0010,34.8500,85.00
,Spinach baby raw,1750352,Spinach baby,foundation_food,,Pre-Packaged Fruit & Vegetables,2.8519,0.6188,2.4063,0.0000,100.00
,Spinach raw,1999633,Spinach mature,foundation_food,,Pre-Packaged Fruit & Vegetables,2.9063,0.6044,2.6414,0.0000,100.00
,Spinach cooked,170531,Spinach cooked boiled drained with salt,sr_legacy_food,,Pre-Packaged Fruit & Vegetables,5.3460,0.4680,6.7500,41.4000,180.00
,sun dried tomatoes,168567,Tomatoes sun-dried,sr_legacy_food,,Pre-Packaged Fruit & Vegetables,7.6194,1.6038,30.1104,139.3200,54.00
,sun dried tomatoes,169384,Tomatoes sun-dried packed in oil drained,sr_legacy_food,,Pre-Packaged Fruit & Vegetables,5.5660,15.4880,25.6630,234.3000,110.00
,Sweet potato,1749244,SWEET POTATO,branded_food,BAKO SWEET,Pre-Packaged Fruit & Vegetables,2.0020,0.0000,26.0000,110.5000,130.00
,Sweet potato baked,170542,Sweet potato frozen cooked baked with salt,sr_legacy_food,,Pre-Packaged Fruit & Vegetables,3.0096,0.2112,41.1840,176.0000,176.00
,Sweet potato boiled,168484,Sweet potato cooked boiled without skin,sr_legacy_food,,Pre-Packaged Fruit & Vegetables,4.4936,0.4592,58.1216,249.2800,328.00
,Tofu fried,172451,Tofu fried,sr_legacy_food,,Canned & Bottled Beans,5.3355,5.7210,2.5118,76.5450,28.35
,Tofu yogurt,167722,Tofu yogurt,sr_legacy_food,,Canned & Bottled Beans,9.1700,4.7160,41.8152,246.2800,262.00
,Tofu,2443060,TOFU,branded_food,MANNA PROTEIN,Other Meats,9.0015,1.9975,3.0005,69.7000,85.00
,Grape tomatoes,321360,Tomatoes grape raw,foundation_food,,Pre-Packaged Fruit & Vegetables,0.4125,0.3131,2.7385,13.4190,49.70
,tomatoes,1750354,Tomato roma,foundation_food,,Pre-Packaged Fruit & Vegetables,0.6956,0.4250,3.8375,0.0000,100.00
,Tuna salad,175160,Fish tuna salad,sr_legacy_food,,Frozen Fish & Seafood,13.6340,7.8710,7.9985,158.9500,85.00
,tuna,1561552,TUNA,branded_food,WICKED TUNA,Frozen Fish & Seafood,5.9996,3.9962,11.0028,99.6400,106.00
,Vinaigrette,1364853,VINAIGRETTE,branded_food,NEWMANS OWN,Salad Dressing & Mayonnaise,0.0000,9.0000,3.0000,90.0000,30.00
,Wheat berry,575301,WHEAT BERRY BREAD,branded_food,,Bread,3.9990,1.5007,21.9988,110.0800,43.00
,Wheat bread,335240,Bread whole-wheat commercially prepared,foundation_food,,Cookies & Biscuits,3.9483,1.1396,13.8351,81.5340,32.10
,Wheat bread,172686,Bread wheat,sr_legacy_food,,Cookies & Biscuits,3.0943,1.3137,13.7866,79.4600,29.00
,White beans,167532,Bread white wheat,sr_legacy_food,,Cookies & Biscuits,2.9848,0.6020,12.2948,66.6400,28.00
,White beans,175204,Beans white mature seeds canned,sr_legacy_food,,Canned & Bottled Beans,19.0212,0.7598,55.5440,298.6800,262.00
,White beans,1641808,WHITE BEANS,branded_food,GRANORO,Canned & Bottled Beans,4.0000,0.2000,7.5000,58.0000,100.00
,White rice,2512381,Rice white long grain unenriched raw,foundation_food,,Rice,7.0389,1.0330,80.3132,0.0000,100.00
,White rice,168879,Rice white medium-grain raw enriched,sr_legacy_food,,Rice,12.8895,1.1310,154.7130,702.0000,195.00
,Wild rice,2710821,Wild rice dry raw,foundation_food,,Rice,12.7875,1.7040,75.6695,0.0000,100.00
,Wild rice,169726,Wild rice raw,sr_legacy_food,,Rice,23.5680,1.7280,119.8400,571.2000,160.00
,Wild rice,168897,Wild rice cooked,sr_legacy_food,,Rice,6.5436,0.5576,34.9976,165.6400,164.00
